age,job,marital,education,key,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
40,admin.,single,secondary,40admin.singlesecondary,no,100,yes,no,cellular,11,aug,221,1,461,1,success,yes
51,admin.,married,secondary,51admin.marriedsecondary,no,4178,yes,no,cellular,20,nov,167,4,174,1,failure,no
33,admin.,single,secondary,33admin.singlesecondary,no,346,yes,no,cellular,5,may,24,7,354,2,other,no
51,blue-collar,married,primary,51blue-collarmarriedprimary,no,377,yes,no,telephone,3,feb,143,4,272,1,failure,no
43,management,divorced,tertiary,43managementdivorcedtertiary,no,2367,no,no,cellular,22,sep,83,1,113,3,success,yes
41,admin.,divorced,secondary,41admin.divorcedsecondary,no,2550,yes,no,cellular,15,may,894,2,347,2,failure,no
60,retired,divorced,secondary,60retireddivorcedsecondary,no,1,no,no,cellular,19,feb,302,1,184,1,success,yes
58,unemployed,married,secondary,58unemployedmarriedsecondary,no,687,yes,no,cellular,7,aug,221,1,99,2,success,yes
52,entrepreneur,single,tertiary,52entrepreneursingletertiary,no,3469,yes,no,cellular,16,apr,583,1,147,1,success,yes
45,management,married,tertiary,45managementmarriedtertiary,no,677,yes,no,cellular,12,may,253,3,334,2,failure,no
48,entrepreneur,divorced,secondary,48entrepreneurdivorcedsecondary,no,2,yes,yes,cellular,6,may,593,2,281,4,failure,no
55,admin.,married,secondary,55admin.marriedsecondary,no,1102,yes,no,cellular,20,nov,195,1,189,2,failure,no
60,retired,married,tertiary,60retiredmarriedtertiary,no,3461,no,no,cellular,26,may,94,2,112,2,failure,no
39,blue-collar,divorced,primary,39blue-collardivorcedprimary,no,1317,yes,no,cellular,20,nov,543,1,170,4,other,yes
46,technician,divorced,secondary,46techniciandivorcedsecondary,no,111,yes,no,cellular,19,nov,178,3,183,2,other,no
34,blue-collar,married,secondary,34blue-collarmarriedsecondary,no,320,yes,no,cellular,12,aug,352,1,828,2,failure,yes
48,blue-collar,married,secondary,48blue-collarmarriedsecondary,no,113,yes,no,cellular,16,apr,255,2,318,5,other,no
31,blue-collar,single,secondary,31blue-collarsinglesecondary,no,573,yes,no,telephone,5,feb,58,1,269,2,failure,no
41,self-employed,single,tertiary,41self-employedsingletertiary,no,1616,no,no,telephone,28,jan,229,1,184,7,success,no
44,technician,single,tertiary,44techniciansingletertiary,no,643,no,no,cellular,16,oct,324,1,143,3,failure,yes
41,management,married,tertiary,41managementmarriedtertiary,no,2226,no,no,cellular,7,aug,182,2,99,1,failure,yes
72,retired,married,secondary,72retiredmarriedsecondary,no,951,no,yes,cellular,12,mar,229,3,339,1,failure,yes
46,self-employed,single,secondary,46self-employedsinglesecondary,no,526,no,no,cellular,4,aug,326,1,96,3,success,no
30,blue-collar,married,primary,30blue-collarmarriedprimary,no,1101,yes,yes,cellular,2,jul,590,1,225,3,failure,no
38,management,single,tertiary,38managementsingletertiary,no,1027,yes,no,cellular,6,sep,387,2,188,3,success,no
36,technician,married,tertiary,36technicianmarriedtertiary,no,202,no,no,cellular,1,oct,237,1,122,2,failure,no
37,technician,single,tertiary,37techniciansingletertiary,no,6101,no,no,cellular,4,may,60,5,87,1,success,no
30,services,single,secondary,30servicessinglesecondary,no,572,yes,no,cellular,5,may,237,1,319,4,other,no
54,technician,married,secondary,54technicianmarriedsecondary,no,65,no,no,cellular,28,may,309,4,93,4,failure,no
31,student,single,secondary,31studentsinglesecondary,no,3511,no,no,cellular,6,oct,311,1,96,1,success,yes
42,unemployed,married,secondary,42unemployedmarriedsecondary,no,1289,no,no,cellular,15,oct,1176,3,92,6,success,yes
28,blue-collar,married,tertiary,28blue-collarmarriedtertiary,no,417,yes,yes,cellular,6,may,523,2,363,2,failure,no
25,student,single,secondary,25studentsinglesecondary,no,679,no,no,cellular,25,oct,297,5,94,6,other,yes
33,admin.,married,secondary,33admin.marriedsecondary,no,920,no,no,cellular,13,aug,111,1,105,1,success,no
62,retired,married,secondary,62retiredmarriedsecondary,no,2917,no,no,cellular,12,apr,147,1,188,1,success,no
46,blue-collar,married,primary,46blue-collarmarriedprimary,no,512,no,no,telephone,13,may,32,1,301,1,failure,no
29,entrepreneur,single,tertiary,29entrepreneursingletertiary,no,135,yes,no,cellular,12,may,245,1,356,1,failure,no
46,management,married,tertiary,46managementmarriedtertiary,no,523,yes,no,cellular,6,may,105,4,366,2,failure,no
35,admin.,single,secondary,35admin.singlesecondary,no,303,no,no,cellular,24,sep,173,2,190,10,other,yes
31,technician,married,tertiary,31technicianmarriedtertiary,no,26,no,yes,cellular,18,nov,419,1,127,6,other,yes
38,entrepreneur,single,secondary,38entrepreneursinglesecondary,no,2543,no,no,cellular,11,nov,357,3,93,5,success,yes
49,admin.,single,tertiary,49admin.singletertiary,no,228,yes,no,cellular,3,sep,252,2,93,2,success,yes
47,admin.,married,secondary,47admin.marriedsecondary,no,3676,no,no,cellular,18,oct,567,1,95,3,success,yes
71,retired,divorced,primary,71retireddivorcedprimary,no,275,no,no,cellular,14,jun,293,1,425,1,success,yes
63,retired,married,secondary,63retiredmarriedsecondary,no,1495,no,no,cellular,25,oct,389,1,195,4,other,yes
54,technician,married,tertiary,54technicianmarriedtertiary,no,395,no,no,cellular,30,apr,183,1,183,2,success,yes
46,self-employed,married,tertiary,46self-employedmarriedtertiary,no,2421,no,no,cellular,19,nov,1084,1,100,4,failure,yes
33,blue-collar,single,tertiary,33blue-collarsingletertiary,no,457,yes,no,cellular,30,jan,159,1,191,4,failure,no
36,management,married,tertiary,36managementmarriedtertiary,no,953,yes,yes,telephone,4,may,354,2,335,3,other,no
37,technician,divorced,secondary,37techniciandivorcedsecondary,no,3068,yes,yes,cellular,20,nov,370,2,195,1,other,yes
31,services,single,secondary,31servicessinglesecondary,no,122,yes,no,cellular,4,feb,157,4,268,2,failure,no
26,blue-collar,single,secondary,26blue-collarsinglesecondary,no,249,yes,no,cellular,29,jan,235,3,262,5,failure,no
49,management,married,tertiary,49managementmarriedtertiary,no,734,yes,no,cellular,7,may,42,2,324,3,failure,no
30,housemaid,single,tertiary,30housemaidsingletertiary,no,19,no,no,cellular,4,aug,139,1,92,5,success,yes
51,management,married,tertiary,51managementmarriedtertiary,no,5108,yes,no,cellular,8,oct,272,1,102,8,other,no
32,blue-collar,single,secondary,32blue-collarsinglesecondary,no,760,yes,no,cellular,16,apr,445,1,148,2,other,no
39,management,married,secondary,39managementmarriedsecondary,no,18,yes,no,cellular,21,aug,102,1,91,1,failure,no
55,self-employed,divorced,secondary,55self-employeddivorcedsecondary,no,1530,no,no,cellular,2,feb,166,1,216,1,other,no
26,admin.,single,secondary,26admin.singlesecondary,no,96,no,no,cellular,11,aug,349,1,70,3,failure,yes
32,management,married,tertiary,32managementmarriedtertiary,no,4945,no,no,cellular,4,jun,160,1,119,2,other,yes
37,management,married,tertiary,37managementmarriedtertiary,no,6815,yes,no,cellular,8,may,92,2,172,2,other,no
34,admin.,married,secondary,34admin.marriedsecondary,no,920,no,no,cellular,14,may,526,3,179,3,success,yes
30,management,single,tertiary,30managementsingletertiary,no,232,no,no,cellular,15,jul,219,1,91,1,success,yes
38,blue-collar,married,primary,38blue-collarmarriedprimary,no,689,yes,no,cellular,6,may,585,2,296,2,failure,no
40,admin.,single,secondary,40admin.singlesecondary,no,782,yes,no,cellular,21,dec,94,5,202,17,failure,no
26,technician,single,secondary,26techniciansinglesecondary,no,1231,yes,no,cellular,4,sep,230,1,93,7,success,yes
34,management,married,tertiary,34managementmarriedtertiary,no,11,yes,no,cellular,17,apr,22,1,150,2,failure,no
27,student,single,tertiary,27studentsingletertiary,no,5291,no,no,cellular,12,nov,192,2,92,2,failure,yes
32,admin.,single,tertiary,32admin.singletertiary,no,8866,no,no,cellular,9,jun,234,2,83,2,success,yes
40,management,single,tertiary,40managementsingletertiary,no,1509,no,no,cellular,12,may,333,1,58,3,failure,no
39,technician,divorced,secondary,39techniciandivorcedsecondary,no,688,yes,yes,cellular,1,apr,233,2,133,1,failure,no
29,blue-collar,single,tertiary,29blue-collarsingletertiary,no,455,no,no,telephone,27,may,214,2,36,1,success,yes
53,technician,married,tertiary,53technicianmarriedtertiary,no,7,no,yes,cellular,8,may,57,1,368,1,failure,no
34,technician,married,tertiary,34technicianmarriedtertiary,no,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes
45,entrepreneur,married,secondary,45entrepreneurmarriedsecondary,no,781,no,yes,cellular,17,nov,652,2,126,2,failure,yes
57,technician,married,tertiary,57technicianmarriedtertiary,no,3082,yes,yes,cellular,20,apr,267,2,294,3,failure,no
35,management,single,tertiary,35managementsingletertiary,no,1891,yes,no,cellular,3,feb,188,3,270,5,failure,no
49,admin.,divorced,secondary,49admin.divorcedsecondary,no,1180,no,no,cellular,27,jul,139,2,181,4,success,no
55,admin.,married,secondary,55admin.marriedsecondary,no,8304,no,no,cellular,1,sep,193,1,92,1,success,yes
56,blue-collar,married,secondary,56blue-collarmarriedsecondary,no,659,yes,no,cellular,2,feb,148,1,188,3,failure,no
42,self-employed,married,secondary,42self-employedmarriedsecondary,no,2812,yes,no,cellular,21,nov,46,4,171,1,failure,no
39,services,married,secondary,39servicesmarriedsecondary,no,1099,no,no,cellular,29,jan,211,2,245,6,failure,no
59,technician,married,secondary,59technicianmarriedsecondary,no,116,no,no,cellular,12,aug,398,4,422,3,failure,yes
35,management,divorced,tertiary,35managementdivorcedtertiary,no,538,yes,no,cellular,21,nov,109,2,193,4,failure,no
42,blue-collar,married,secondary,42blue-collarmarriedsecondary,no,343,yes,no,telephone,14,may,33,7,365,7,failure,no
40,blue-collar,married,secondary,40blue-collarmarriedsecondary,no,1451,no,no,cellular,30,sep,117,1,121,1,success,yes
55,management,divorced,tertiary,55managementdivorcedtertiary,no,2037,no,no,cellular,2,nov,209,2,273,1,failure,yes
49,management,divorced,tertiary,49managementdivorcedtertiary,no,20727,no,no,cellular,1,apr,285,3,132,2,failure,no
58,blue-collar,married,secondary,58blue-collarmarriedsecondary,no,221,yes,no,cellular,17,apr,115,2,343,2,failure,no
34,technician,married,secondary,34technicianmarriedsecondary,no,806,no,no,cellular,19,jul,253,3,458,1,success,yes
28,services,divorced,secondary,28servicesdivorcedsecondary,no,6,yes,yes,cellular,5,may,211,2,278,23,other,no
32,technician,married,secondary,32technicianmarriedsecondary,no,473,no,yes,cellular,10,aug,1064,1,95,3,success,yes
34,technician,married,secondary,34technicianmarriedsecondary,no,118,yes,no,cellular,18,may,53,4,262,2,failure,no
53,management,married,tertiary,53managementmarriedtertiary,no,3366,no,no,telephone,20,nov,278,6,112,2,failure,no
28,unemployed,single,primary,28unemployedsingleprimary,no,236,no,no,cellular,4,may,193,1,87,3,failure,yes
43,management,married,primary,43managementmarriedprimary,no,8167,yes,no,telephone,19,nov,202,2,184,2,failure,no
28,services,single,secondary,28servicessinglesecondary,no,168,no,no,cellular,12,jan,387,1,194,1,other,yes
27,blue-collar,single,primary,27blue-collarsingleprimary,no,3342,yes,no,cellular,30,apr,761,2,330,4,failure,no
53,management,married,tertiary,53managementmarriedtertiary,no,34230,yes,yes,cellular,7,may,279,1,358,9,other,no
34,admin.,divorced,secondary,34admin.divorcedsecondary,no,661,yes,no,cellular,5,aug,245,2,183,10,failure,yes
57,self-employed,married,tertiary,57self-employedmarriedtertiary,no,350,no,no,cellular,26,may,132,6,112,3,failure,no
21,student,single,secondary,21studentsinglesecondary,no,215,no,no,cellular,24,may,382,1,89,7,success,yes
30,technician,single,secondary,30techniciansinglesecondary,no,8826,yes,no,cellular,20,apr,90,3,151,3,other,no
29,admin.,married,secondary,29admin.marriedsecondary,no,2121,no,no,cellular,16,apr,281,1,342,2,other,no
47,entrepreneur,married,tertiary,47entrepreneurmarriedtertiary,no,2518,yes,yes,cellular,21,nov,132,1,186,1,other,no
43,management,divorced,tertiary,43managementdivorcedtertiary,no,2367,no,no,cellular,1,jun,114,1,38,2,other,yes
38,management,divorced,tertiary,38managementdivorcedtertiary,no,4335,yes,no,cellular,18,may,157,7,179,1,failure,no
29,management,single,tertiary,29managementsingletertiary,no,874,yes,no,cellular,16,mar,231,1,181,2,success,yes
52,self-employed,married,tertiary,52self-employedmarriedtertiary,no,4012,no,no,cellular,31,aug,634,3,92,5,other,yes
46,blue-collar,married,secondary,46blue-collarmarriedsecondary,no,1568,yes,no,cellular,2,jun,310,1,55,6,other,yes
49,management,married,secondary,49managementmarriedsecondary,no,99,yes,no,cellular,6,may,687,2,343,1,failure,yes
34,management,divorced,secondary,34managementdivorcedsecondary,no,124,yes,no,cellular,21,nov,56,1,163,4,other,no
52,blue-collar,married,secondary,52blue-collarmarriedsecondary,no,955,no,yes,cellular,3,feb,153,1,48,3,success,yes
37,admin.,married,tertiary,37admin.marriedtertiary,no,29,no,no,cellular,14,may,404,2,183,2,other,yes
39,services,married,secondary,39servicesmarriedsecondary,no,702,yes,no,cellular,8,apr,303,1,300,1,failure,no
