,age,job,marital,education,key,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
59,54,management,2,2,54managementdivorcedtertiary,no,2152,0,0,1,17,may,226,3,186,7,2,0
60,24,student,0,1,24studentsinglesecondary,no,1234,0,0,1,21,jul,314,1,156,2,1,1
61,62,retired,1,1,62retiredmarriedsecondary,no,569,0,0,1,4,feb,94,5,184,1,1,1
62,46,management,0,1,46managementsinglesecondary,no,5993,0,0,1,25,mar,151,1,184,2,0,0
63,39,management,0,2,39managementsingletertiary,no,1515,1,0,1,4,may,815,6,167,6,0,1
64,42,technician,1,2,42technicianmarriedtertiary,no,725,1,1,0,3,feb,124,3,252,3,0,0
65,34,technician,1,1,34technicianmarriedsecondary,no,133,0,0,1,15,nov,401,2,187,5,1,1
66,32,services,2,1,32servicesdivorcedsecondary,no,5267,1,0,1,21,nov,183,1,168,2,0,0
67,66,housemaid,1,0,66housemaidmarriedprimary,no,1230,0,0,1,16,jun,288,6,181,3,1,1
68,34,unemployed,0,2,34unemployedsingletertiary,no,1974,0,0,1,22,jul,355,1,342,3,1,1
69,37,blue-collar,1,1,37blue-collarmarriedsecondary,no,3420,1,0,1,12,may,77,1,301,2,0,0
70,40,technician,0,1,40techniciansinglesecondary,no,556,1,0,1,17,apr,234,1,323,1,0,0
71,38,management,0,2,38managementsingletertiary,no,3646,1,0,1,12,may,1710,2,286,1,2,1
72,56,management,0,2,56managementsingletertiary,no,1092,1,1,1,17,nov,176,3,186,4,0,0
73,31,technician,1,1,31technicianmarriedsecondary,no,671,0,0,1,2,feb,119,2,175,2,0,0
74,37,admin.,1,1,37admin.marriedsecondary,no,1314,1,0,1,22,may,74,1,14,9,0,0
75,33,services,0,1,33servicessinglesecondary,no,152,1,0,1,25,may,202,2,365,2,1,1
76,31,blue-collar,1,0,31blue-collarmarriedprimary,no,1127,1,0,0,13,may,43,1,349,1,0,0
77,55,admin.,2,1,55admin.divorcedsecondary,no,1693,0,0,1,10,aug,247,1,102,3,1,0
78,33,management,1,1,33managementmarriedsecondary,no,3935,1,0,1,6,may,765,1,342,2,0,1
79,55,management,1,0,55managementmarriedprimary,no,2587,0,0,1,4,sep,328,2,94,2,1,1
80,60,retired,1,0,60retiredmarriedprimary,no,174,1,1,1,2,feb,157,2,252,1,0,0
81,53,entrepreneur,1,0,53entrepreneurmarriedprimary,no,1034,1,0,1,19,nov,854,2,170,3,2,0
82,47,admin.,1,1,47admin.marriedsecondary,no,368,0,0,1,21,may,403,1,87,6,1,1
83,34,technician,2,1,34techniciandivorcedsecondary,no,7,1,1,1,21,nov,94,2,199,1,0,0
84,38,blue-collar,2,1,38blue-collardivorcedsecondary,no,814,1,0,1,21,nov,1166,1,155,3,2,0
85,33,management,0,2,33managementsingletertiary,no,191,0,1,1,3,feb,678,4,209,1,0,0
86,37,management,0,2,37managementsingletertiary,no,4543,1,0,1,8,may,137,1,340,5,0,0
87,82,retired,1,0,82retiredmarriedprimary,no,243,0,0,1,26,jul,275,1,180,2,1,1
88,49,blue-collar,1,1,49blue-collarmarriedsecondary,no,1946,0,0,1,19,oct,192,1,95,1,1,1
89,34,admin.,2,1,34admin.divorcedsecondary,no,479,1,0,1,12,may,515,1,350,5,0,1
90,43,blue-collar,0,1,43blue-collarsinglesecondary,no,1306,1,0,1,16,apr,243,1,336,1,0,0
91,35,management,1,2,35managementmarriedtertiary,no,62,0,0,1,8,feb,469,2,185,2,0,1
92,31,technician,0,1,31techniciansinglesecondary,no,863,1,0,1,25,may,166,3,111,6,0,0
93,32,admin.,1,1,32admin.marriedsecondary,no,200,0,0,1,1,sep,729,1,29,3,0,1
94,60,admin.,1,1,60admin.marriedsecondary,no,3735,0,0,1,22,dec,190,1,188,9,1,1
95,36,blue-collar,0,1,36blue-collarsinglesecondary,no,767,1,0,1,5,may,62,1,355,2,2,0
96,28,management,0,2,28managementsingletertiary,no,390,0,0,1,29,sep,845,1,232,4,1,1
97,35,technician,1,1,35technicianmarriedsecondary,no,1368,0,0,1,13,aug,159,2,78,3,1,0
99,62,retired,1,1,62retiredmarriedsecondary,no,1495,0,0,1,17,aug,606,1,196,1,1,1
100,34,entrepreneur,0,1,34entrepreneursinglesecondary,no,339,1,0,1,6,may,110,2,359,2,0,0
101,32,admin.,0,1,32admin.singlesecondary,no,131,1,0,1,21,dec,322,1,189,1,1,1
102,29,technician,1,2,29technicianmarriedtertiary,no,676,0,0,1,9,mar,93,2,224,4,0,0
103,32,technician,1,2,32technicianmarriedtertiary,no,636,1,0,1,28,aug,370,1,116,4,1,1
104,34,services,1,1,34servicesmarriedsecondary,no,2021,1,1,1,17,apr,51,6,148,8,2,0
105,59,unemployed,1,1,59unemployedmarriedsecondary,no,957,0,0,1,8,mar,301,1,89,2,1,1
106,60,retired,1,1,60retiredmarriedsecondary,no,1853,0,0,1,10,feb,234,1,183,1,1,1
107,31,management,1,2,31managementmarriedtertiary,no,357,1,0,1,13,apr,201,2,228,5,0,0
108,60,services,1,2,60servicesmarriedtertiary,no,4256,1,0,1,16,aug,239,3,761,1,2,1
109,34,admin.,1,1,34admin.marriedsecondary,no,471,1,0,1,8,may,146,3,340,2,0,0
110,36,management,1,2,36managementmarriedtertiary,no,1133,1,0,1,4,aug,293,1,181,2,2,1
111,31,management,0,2,31managementsingletertiary,no,147,0,0,1,9,mar,469,1,181,2,1,1
112,37,services,0,1,37servicessinglesecondary,no,248,1,0,1,8,apr,417,2,57,3,0,0
113,43,management,2,2,43managementdivorcedtertiary,no,580,1,0,1,11,may,1514,1,284,2,0,1
114,46,admin.,2,1,46admin.divorcedsecondary,no,2087,0,0,1,1,jun,111,1,119,4,2,0
115,48,management,2,2,48managementdivorcedtertiary,no,541,1,0,1,14,may,72,1,363,2,2,0
116,32,management,1,2,32managementmarriedtertiary,no,272,1,0,1,3,feb,188,4,209,1,0,0
117,34,blue-collar,1,0,34blue-collarmarriedprimary,no,392,1,0,1,18,may,180,3,360,1,0,0
118,31,management,1,2,31managementmarriedtertiary,no,6138,0,0,1,16,oct,154,2,119,5,0,1
119,30,unemployed,0,1,30unemployedsinglesecondary,no,2424,0,0,1,12,nov,110,1,279,1,0,1
120,27,admin.,1,1,27admin.marriedsecondary,no,1417,1,0,1,15,may,143,2,343,3,0,0
121,37,blue-collar,1,1,37blue-collarmarriedsecondary,no,982,1,0,1,17,apr,127,1,282,2,0,0
122,55,blue-collar,2,1,55blue-collardivorcedsecondary,no,462,1,0,1,20,apr,157,1,332,3,0,0
123,30,services,1,0,30servicesmarriedprimary,no,1015,1,0,1,20,nov,24,1,113,8,0,0
124,60,management,1,2,60managementmarriedtertiary,no,3401,0,0,1,30,oct,294,1,270,1,0,1
125,38,technician,1,1,38technicianmarriedsecondary,no,318,0,0,1,4,feb,383,1,181,5,0,1
127,35,admin.,1,1,35admin.marriedsecondary,no,5250,1,0,1,15,apr,343,2,146,1,0,0
128,41,admin.,2,1,41admin.divorcedsecondary,no,6046,1,1,0,15,mar,300,6,182,2,1,1
129,31,management,0,2,31managementsingletertiary,no,307,0,0,1,8,jul,361,1,229,2,0,1
130,25,student,0,1,25studentsinglesecondary,no,154,0,0,1,3,mar,141,1,180,2,0,1
131,33,management,2,2,33managementdivorcedtertiary,no,312,1,1,1,13,may,23,1,359,3,0,0
132,38,management,2,2,38managementdivorcedtertiary,no,554,0,0,1,21,nov,45,1,101,4,0,0
133,31,management,1,2,31managementmarriedtertiary,no,302,1,1,1,4,feb,181,1,257,1,0,0
134,51,blue-collar,1,0,51blue-collarmarriedprimary,no,1203,1,1,0,13,may,25,4,350,7,0,0
135,40,admin.,0,1,40admin.singlesecondary,no,100,1,0,1,11,aug,221,1,461,1,1,1
136,51,admin.,1,1,51admin.marriedsecondary,no,4178,1,0,1,20,nov,167,4,174,1,0,0
137,33,admin.,0,1,33admin.singlesecondary,no,346,1,0,1,5,may,24,7,354,2,2,0
138,51,blue-collar,1,0,51blue-collarmarriedprimary,no,377,1,0,0,3,feb,143,4,272,1,0,0
139,43,management,2,2,43managementdivorcedtertiary,no,2367,0,0,1,22,sep,83,1,113,3,1,1
140,41,admin.,2,1,41admin.divorcedsecondary,no,2550,1,0,1,15,may,894,2,347,2,0,0
141,60,retired,2,1,60retireddivorcedsecondary,no,1,0,0,1,19,feb,302,1,184,1,1,1
142,58,unemployed,1,1,58unemployedmarriedsecondary,no,687,1,0,1,7,aug,221,1,99,2,1,1
143,52,entrepreneur,0,2,52entrepreneursingletertiary,no,3469,1,0,1,16,apr,583,1,147,1,1,1
144,45,management,1,2,45managementmarriedtertiary,no,677,1,0,1,12,may,253,3,334,2,0,0
145,48,entrepreneur,2,1,48entrepreneurdivorcedsecondary,no,2,1,1,1,6,may,593,2,281,4,0,0
146,55,admin.,1,1,55admin.marriedsecondary,no,1102,1,0,1,20,nov,195,1,189,2,0,0
147,60,retired,1,2,60retiredmarriedtertiary,no,3461,0,0,1,26,may,94,2,112,2,0,0
148,39,blue-collar,2,0,39blue-collardivorcedprimary,no,1317,1,0,1,20,nov,543,1,170,4,2,1
149,46,technician,2,1,46techniciandivorcedsecondary,no,111,1,0,1,19,nov,178,3,183,2,2,0
150,34,blue-collar,1,1,34blue-collarmarriedsecondary,no,320,1,0,1,12,aug,352,1,828,2,0,1
151,48,blue-collar,1,1,48blue-collarmarriedsecondary,no,113,1,0,1,16,apr,255,2,318,5,2,0
152,31,blue-collar,0,1,31blue-collarsinglesecondary,no,573,1,0,0,5,feb,58,1,269,2,0,0
153,41,self-employed,0,2,41self-employedsingletertiary,no,1616,0,0,0,28,jan,229,1,184,7,1,0
154,44,technician,0,2,44techniciansingletertiary,no,643,0,0,1,16,oct,324,1,143,3,0,1
155,41,management,1,2,41managementmarriedtertiary,no,2226,0,0,1,7,aug,182,2,99,1,0,1
156,72,retired,1,1,72retiredmarriedsecondary,no,951,0,1,1,12,mar,229,3,339,1,0,1
157,46,self-employed,0,1,46self-employedsinglesecondary,no,526,0,0,1,4,aug,326,1,96,3,1,0
158,30,blue-collar,1,0,30blue-collarmarriedprimary,no,1101,1,1,1,2,jul,590,1,225,3,0,0
159,38,management,0,2,38managementsingletertiary,no,1027,1,0,1,6,sep,387,2,188,3,1,0
160,36,technician,1,2,36technicianmarriedtertiary,no,202,0,0,1,1,oct,237,1,122,2,0,0
161,37,technician,0,2,37techniciansingletertiary,no,6101,0,0,1,4,may,60,5,87,1,1,0
162,30,services,0,1,30servicessinglesecondary,no,572,1,0,1,5,may,237,1,319,4,2,0
163,54,technician,1,1,54technicianmarriedsecondary,no,65,0,0,1,28,may,309,4,93,4,0,0
164,31,student,0,1,31studentsinglesecondary,no,3511,0,0,1,6,oct,311,1,96,1,1,1
165,42,unemployed,1,1,42unemployedmarriedsecondary,no,1289,0,0,1,15,oct,1176,3,92,6,1,1
166,28,blue-collar,1,2,28blue-collarmarriedtertiary,no,417,1,1,1,6,may,523,2,363,2,0,0
167,25,student,0,1,25studentsinglesecondary,no,679,0,0,1,25,oct,297,5,94,6,2,1
168,33,admin.,1,1,33admin.marriedsecondary,no,920,0,0,1,13,aug,111,1,105,1,1,0
169,62,retired,1,1,62retiredmarriedsecondary,no,2917,0,0,1,12,apr,147,1,188,1,1,0
170,46,blue-collar,1,0,46blue-collarmarriedprimary,no,512,0,0,0,13,may,32,1,301,1,0,0
171,29,entrepreneur,0,2,29entrepreneursingletertiary,no,135,1,0,1,12,may,245,1,356,1,0,0
172,46,management,1,2,46managementmarriedtertiary,no,523,1,0,1,6,may,105,4,366,2,0,0
173,35,admin.,0,1,35admin.singlesecondary,no,303,0,0,1,24,sep,173,2,190,10,2,1
174,31,technician,1,2,31technicianmarriedtertiary,no,26,0,1,1,18,nov,419,1,127,6,2,1
175,38,entrepreneur,0,1,38entrepreneursinglesecondary,no,2543,0,0,1,11,nov,357,3,93,5,1,1
176,49,admin.,0,2,49admin.singletertiary,no,228,1,0,1,3,sep,252,2,93,2,1,1
177,47,admin.,1,1,47admin.marriedsecondary,no,3676,0,0,1,18,oct,567,1,95,3,1,1
178,71,retired,2,0,71retireddivorcedprimary,no,275,0,0,1,14,jun,293,1,425,1,1,1
179,63,retired,1,1,63retiredmarriedsecondary,no,1495,0,0,1,25,oct,389,1,195,4,2,1
180,54,technician,1,2,54technicianmarriedtertiary,no,395,0,0,1,30,apr,183,1,183,2,1,1
181,46,self-employed,1,2,46self-employedmarriedtertiary,no,2421,0,0,1,19,nov,1084,1,100,4,0,1
182,33,blue-collar,0,2,33blue-collarsingletertiary,no,457,1,0,1,30,jan,159,1,191,4,0,0
183,36,management,1,2,36managementmarriedtertiary,no,953,1,1,0,4,may,354,2,335,3,2,0
184,37,technician,2,1,37techniciandivorcedsecondary,no,3068,1,1,1,20,nov,370,2,195,1,2,1
185,31,services,0,1,31servicessinglesecondary,no,122,1,0,1,4,feb,157,4,268,2,0,0
186,26,blue-collar,0,1,26blue-collarsinglesecondary,no,249,1,0,1,29,jan,235,3,262,5,0,0
187,49,management,1,2,49managementmarriedtertiary,no,734,1,0,1,7,may,42,2,324,3,0,0
188,30,housemaid,0,2,30housemaidsingletertiary,no,19,0,0,1,4,aug,139,1,92,5,1,1
189,51,management,1,2,51managementmarriedtertiary,no,5108,1,0,1,8,oct,272,1,102,8,2,0
190,32,blue-collar,0,1,32blue-collarsinglesecondary,no,760,1,0,1,16,apr,445,1,148,2,2,0
191,39,management,1,1,39managementmarriedsecondary,no,18,1,0,1,21,aug,102,1,91,1,0,0
192,55,self-employed,2,1,55self-employeddivorcedsecondary,no,1530,0,0,1,2,feb,166,1,216,1,2,0
193,26,admin.,0,1,26admin.singlesecondary,no,96,0,0,1,11,aug,349,1,70,3,0,1
194,32,management,1,2,32managementmarriedtertiary,no,4945,0,0,1,4,jun,160,1,119,2,2,1
195,37,management,1,2,37managementmarriedtertiary,no,6815,1,0,1,8,may,92,2,172,2,2,0
196,34,admin.,1,1,34admin.marriedsecondary,no,920,0,0,1,14,may,526,3,179,3,1,1
197,30,management,0,2,30managementsingletertiary,no,232,0,0,1,15,jul,219,1,91,1,1,1
198,38,blue-collar,1,0,38blue-collarmarriedprimary,no,689,1,0,1,6,may,585,2,296,2,0,0
199,40,admin.,0,1,40admin.singlesecondary,no,782,1,0,1,21,dec,94,5,202,17,0,0
200,26,technician,0,1,26techniciansinglesecondary,no,1231,1,0,1,4,sep,230,1,93,7,1,1
201,34,management,1,2,34managementmarriedtertiary,no,11,1,0,1,17,apr,22,1,150,2,0,0
202,27,student,0,2,27studentsingletertiary,no,5291,0,0,1,12,nov,192,2,92,2,0,1
204,40,management,0,2,40managementsingletertiary,no,1509,0,0,1,12,may,333,1,58,3,0,0
205,39,technician,2,1,39techniciandivorcedsecondary,no,688,1,1,1,1,apr,233,2,133,1,0,0
206,29,blue-collar,0,2,29blue-collarsingletertiary,no,455,0,0,0,27,may,214,2,36,1,1,1
207,53,technician,1,2,53technicianmarriedtertiary,no,7,0,1,1,8,may,57,1,368,1,0,0
208,34,technician,1,2,34technicianmarriedtertiary,no,1539,1,0,1,15,jun,441,1,56,1,2,1
209,45,entrepreneur,1,1,45entrepreneurmarriedsecondary,no,781,0,1,1,17,nov,652,2,126,2,0,1
210,57,technician,1,2,57technicianmarriedtertiary,no,3082,1,1,1,20,apr,267,2,294,3,0,0
211,35,management,0,2,35managementsingletertiary,no,1891,1,0,1,3,feb,188,3,270,5,0,0
212,49,admin.,2,1,49admin.divorcedsecondary,no,1180,0,0,1,27,jul,139,2,181,4,1,0
214,56,blue-collar,1,1,56blue-collarmarriedsecondary,no,659,1,0,1,2,feb,148,1,188,3,0,0
215,42,self-employed,1,1,42self-employedmarriedsecondary,no,2812,1,0,1,21,nov,46,4,171,1,0,0
216,39,services,1,1,39servicesmarriedsecondary,no,1099,0,0,1,29,jan,211,2,245,6,0,0
217,59,technician,1,1,59technicianmarriedsecondary,no,116,0,0,1,12,aug,398,4,422,3,0,1
218,35,management,2,2,35managementdivorcedtertiary,no,538,1,0,1,21,nov,109,2,193,4,0,0
219,42,blue-collar,1,1,42blue-collarmarriedsecondary,no,343,1,0,0,14,may,33,7,365,7,0,0
220,40,blue-collar,1,1,40blue-collarmarriedsecondary,no,1451,0,0,1,30,sep,117,1,121,1,1,1
221,55,management,2,2,55managementdivorcedtertiary,no,2037,0,0,1,2,nov,209,2,273,1,0,1
223,58,blue-collar,1,1,58blue-collarmarriedsecondary,no,221,1,0,1,17,apr,115,2,343,2,0,0
224,34,technician,1,1,34technicianmarriedsecondary,no,806,0,0,1,19,jul,253,3,458,1,1,1
225,28,services,2,1,28servicesdivorcedsecondary,no,6,1,1,1,5,may,211,2,278,23,2,0
226,32,technician,1,1,32technicianmarriedsecondary,no,473,0,1,1,10,aug,1064,1,95,3,1,1
227,34,technician,1,1,34technicianmarriedsecondary,no,118,1,0,1,18,may,53,4,262,2,0,0
228,53,management,1,2,53managementmarriedtertiary,no,3366,0,0,0,20,nov,278,6,112,2,0,0
229,28,unemployed,0,0,28unemployedsingleprimary,no,236,0,0,1,4,may,193,1,87,3,0,1
231,28,services,0,1,28servicessinglesecondary,no,168,0,0,1,12,jan,387,1,194,1,2,1
232,27,blue-collar,0,0,27blue-collarsingleprimary,no,3342,1,0,1,30,apr,761,2,330,4,0,0
234,34,admin.,2,1,34admin.divorcedsecondary,no,661,1,0,1,5,aug,245,2,183,10,0,1
235,57,self-employed,1,2,57self-employedmarriedtertiary,no,350,0,0,1,26,may,132,6,112,3,0,0
236,21,student,0,1,21studentsinglesecondary,no,215,0,0,1,24,may,382,1,89,7,1,1
238,29,admin.,1,1,29admin.marriedsecondary,no,2121,0,0,1,16,apr,281,1,342,2,2,0
239,47,entrepreneur,1,2,47entrepreneurmarriedtertiary,no,2518,1,1,1,21,nov,132,1,186,1,2,0
240,43,management,2,2,43managementdivorcedtertiary,no,2367,0,0,1,1,jun,114,1,38,2,2,1
241,38,management,2,2,38managementdivorcedtertiary,no,4335,1,0,1,18,may,157,7,179,1,0,0
242,29,management,0,2,29managementsingletertiary,no,874,1,0,1,16,mar,231,1,181,2,1,1
243,52,self-employed,1,2,52self-employedmarriedtertiary,no,4012,0,0,1,31,aug,634,3,92,5,2,1
244,46,blue-collar,1,1,46blue-collarmarriedsecondary,no,1568,1,0,1,2,jun,310,1,55,6,2,1
245,49,management,1,1,49managementmarriedsecondary,no,99,1,0,1,6,may,687,2,343,1,0,1
246,34,management,2,1,34managementdivorcedsecondary,no,124,1,0,1,21,nov,56,1,163,4,2,0
247,52,blue-collar,1,1,52blue-collarmarriedsecondary,no,955,0,1,1,3,feb,153,1,48,3,1,1
248,37,admin.,1,2,37admin.marriedtertiary,no,29,0,0,1,14,may,404,2,183,2,2,1
249,39,services,1,1,39servicesmarriedsecondary,no,702,1,0,1,8,apr,303,1,300,1,0,0
250,45,technician,1,1,45technicianmarriedsecondary,no,2776,1,0,1,27,jul,287,2,181,1,1,1
251,50,management,1,2,50managementmarriedtertiary,no,3284,1,0,1,4,feb,195,2,271,3,0,0
252,31,technician,0,1,31techniciansinglesecondary,no,1447,1,0,1,21,nov,225,2,95,13,2,0
253,37,admin.,2,1,37admin.divorcedsecondary,no,1573,1,0,1,12,may,639,3,326,10,0,0
255,27,blue-collar,0,1,27blue-collarsinglesecondary,no,535,0,0,1,13,may,159,1,87,3,1,1
256,34,technician,0,1,34techniciansinglesecondary,no,1279,1,0,1,22,jul,174,2,160,8,2,1
257,41,blue-collar,2,1,41blue-collardivorcedsecondary,no,351,1,0,1,6,feb,12,8,268,9,2,0
258,42,services,1,1,42servicesmarriedsecondary,no,146,1,1,1,15,may,670,4,346,1,0,1
259,31,admin.,2,1,31admin.divorcedsecondary,no,11,1,0,1,18,may,17,7,350,9,2,0
260,58,admin.,1,1,58admin.marriedsecondary,no,169,0,0,1,13,may,336,3,87,5,1,1
261,42,blue-collar,1,1,42blue-collarmarriedsecondary,no,4900,1,0,0,11,may,231,1,284,2,0,0
262,34,entrepreneur,1,1,34entrepreneurmarriedsecondary,no,1847,1,0,1,9,apr,543,3,321,6,0,0
263,40,management,1,2,40managementmarriedtertiary,no,5142,0,0,1,13,jan,147,2,224,1,0,0
264,26,technician,0,1,26techniciansinglesecondary,no,1105,1,0,1,6,sep,415,1,297,3,2,1
265,27,admin.,0,2,27admin.singletertiary,no,3672,1,0,1,15,may,157,2,351,5,0,0
267,61,retired,1,2,61retiredmarriedtertiary,no,2557,1,0,1,11,aug,139,3,190,1,1,1
268,54,blue-collar,1,1,54blue-collarmarriedsecondary,no,1777,1,0,1,18,may,13,5,178,6,1,0
269,47,blue-collar,2,0,47blue-collardivorcedprimary,no,1927,1,0,1,5,feb,130,4,275,3,0,0
270,27,services,1,1,27servicesmarriedsecondary,no,311,1,0,1,15,may,50,1,352,1,0,0
271,31,blue-collar,0,1,31blue-collarsinglesecondary,no,397,1,0,0,13,may,134,1,350,7,0,0
272,41,admin.,2,1,41admin.divorcedsecondary,no,220,1,0,1,14,aug,142,2,88,2,0,0
273,30,management,1,2,30managementmarriedtertiary,no,2451,1,0,1,19,nov,191,2,175,1,0,0
274,50,blue-collar,1,1,50blue-collarmarriedsecondary,no,173,1,0,1,12,may,7,5,342,15,2,0
275,33,management,0,2,33managementsingletertiary,no,923,1,0,1,19,nov,1307,3,173,6,0,0
276,53,unemployed,1,1,53unemployedmarriedsecondary,no,94,0,0,1,10,aug,493,1,181,14,1,1
277,63,management,1,2,63managementmarriedtertiary,no,2785,0,0,1,2,aug,341,2,392,3,1,1
278,25,admin.,0,2,25admin.singletertiary,no,1185,0,0,1,7,oct,290,1,114,1,0,1
279,40,admin.,0,1,40admin.singlesecondary,no,1200,1,0,1,21,nov,163,2,156,8,0,0
280,33,blue-collar,1,1,33blue-collarmarriedsecondary,no,931,1,0,1,5,may,272,2,336,1,0,0
281,29,blue-collar,0,0,29blue-collarsingleprimary,no,722,1,0,1,15,may,78,1,359,1,0,0
282,39,blue-collar,0,1,39blue-collarsinglesecondary,no,290,1,0,1,5,may,128,1,336,1,2,0
